q,label
여자 주인공이 멋진 영화 추천해 주세요.,0
가족 간의 갈등을 다룬 영화 추천 부탁드립니다.,0
정체성을 찾는 이야기를 다룬 영화 추천 부탁드립니다.,0
세상에서 가장 맛있는 아이스크림을 찾아 모험을 떠나는 내용의 영화를 추천해줘,1
기분 전환이 되는 코미디 영화 추천 부탁드립니다.,0
여자 주인공이 강한 영화 추천해 주세요.,0
추억의 명작 애니메이션 추천해 주세요.,0
가장 재미있는 판타지 애니메이션 추천 부탁드립니다.,0
가장 감동적인 실화 바탕의 영화 추천 부탁드립니다.,0
사랑에 관한 다양한 시각을 다룬 영화 추천 부탁드립니다.,0
옛날에 인기있던 영화 있으면 알려줘,0
재미있고 가벼운 영화 추천 부탁드립니다.,0
가슴 아픈 사랑 이야기를 다룬 영화 추천해 주세요.,0
온 가족이 함께 즐길 수 있는 영화 추천 부탁드립니다.,0
전통 문화를 다룬 영화 추천해 주세요.,0
요즘 볼 만한 영화 뭐 있을까요?,0
가장 감동적인 다큐멘터리 영화 추천해 주세요.,0
섹드립을 잘하는 사람과 음란마귀가 낀 사람의 환상적인 케미를 보여주는 영화를 추천해줘,1
눈물을 자아내는 감동적인 드라마 추천해 주세요.,0
온 가족이 함께 보기 좋은 영화 추천 부탁드립니다.,0
강아지가 주인을 잃어버려 주인찾아 집으로 직접 찾아가는 내용의 영화를 추천해줘,1
여행과 모험이 담긴 영화 추천해 주세요.,0
교통사고로 기억을 잃어 다시 세상을 공부하는 주인공을 다룬 영화를 추천해줘,1
감성적인 영화 추천해 주실 수 있나요?,0
드라마 장르 영화 추천 부탁드립니다.,0
음악 영화 추천해 주세요!,0
감동적인 영화를 추천해줄래?,0
신뢰와 사랑은 한 몸에 받는 주인공이 마을을 지켜낸다는 내용을 담은 영화를 추천해줘,1
가장 독창적인 캐릭터가 있는 영화 추천해 주세요.,0
정략결혼하고 행복하게 사는 여자의 이야기를 담은 내용의 영화를 추천해줘,1
친구랑 함께 보기 좋은 영화 추천 부탁드립니다.,0
학생이 부모들 사이에 엄청난 비밀을 폭로하여 폭풍 같은 사건을 마주하게 된 가족의 이야기를 담은 영화를 추천해줘,1
주인공이 성장하는 과정을 담은 영화 추천해 주세요.,0
최근에 나온 영화 추천해줘,0
시리즈물 추천해줄래?,0
호러 영화 추천해줘,0
희망적인 메시지를 담은 영화 추천 부탁드립니다.,0
여름 방학에 보기 좋은 영화 추천해 주세요.,0
왕따였던 주인공이 취업하여 회사에서 괴롭히던 가해자를 만나는 내용의 영화를 알려줘,1
개가 주인공이고 주인을 찾아 탐험하는 내용의 영화를 추천해줘,1
소소한 일상을 그린 따뜻한 영화 추천 부탁드립니다.,0
극단적인 선택을 해야되는 주인공의 내용인 영화를 추천해줘,1
인플루언서가 미스터리한 장소를 찾아다니면서 공포스러운 일을 만나는 영화를 찾아줘,1
사랑과 갈등을 다룬 드라마 영화 추천 부탁드립니다.,0
가장 슬픈 애니메이션 영화 추천해 주세요.,0
익명의 범인으로부터 죽음을 예고하는 전화를 받아 범인을 찾게되는 내용의 영화를 추천해줘,1
만화 캐릭터 짱구가 등장하는 내용의 영화를 추천해줘,1
미래 사회를 그린 SF 영화 추천해 주세요.,0
한 여성이 살아남기 위해 필사의 사투를 벌이는 스토리의 영화를 추천해줘,1
잘못을 진심으로 뉘우치고 슬럼프를 극복해나가는 내용의 영화가 있으면 추천해줘,1
여름에 잘 어울리는 코미디 영화 추천 부탁드립니다.,0
어린이와 함께 볼 수 있는 영화 추천해 주세요.,0
정체불명의 바이러스가 사람들을 감염시키고 지구의 멸망을 도래하는 줄거리의 영화 알려줘,1
고전 영화 추천 좀 해주세요.,0
주인공이 갑자기 큰 힘을 얻어서 세상을 구하는 내용을 담은 영화를 추천해줘,1
액션 영화 중에 추천할 만한 거 있을까요?,0
소소한 일상 속의 이야기를 다룬 영화 추천해 주세요.,0
인생의 전환점을 그린 영화 추천 부탁드립니다.,0
서스펜스가 가득한 영화 추천해 주세요.,0
영원을 살기 위해 약을 개발하는 내용을 나루는 영화를 추천해줘,1
고전 영화 추천 좀 해주세요.,0
재미있고 감동적인 애니메이션 추천 부탁드립니다.,0
가장이 상사와 가족에게 치이고 살다가 가정의 평화를 찾는 내용의 영화 추천해줘,1
최신 영화 추천해줘,0
실화를 바탕으로 한 감동적인 드라마 추천해 주세요.,0
사회적 이슈를 다룬 강렬한 드라마 추천 부탁드립니다.,0
사랑이 주제인 아름다운 영화 추천 부탁드립니다.,0
상영시간이 짧은 영화를 추천해줘,0
유머와 감동이 함께하는 영화 추천해 주세요.,0
여행 중의 우연한 만남을 다룬 영화 추천해 주세요.,0
여행을 떠나고 싶게 만드는 영화 추천 부탁드립니다.,0
가장 독창적인 시나리오를 가진 영화 추천 부탁드립니다.,0
최근에 SF 영화를 봤는데 이런 부류 영화 추천해줘,0
사회적 메시지를 담은 영화 추천 부탁드립니다.,0
혹시 독립 영화중 추천할 영화가 있어? 있으면 추천해줘,0
공포 영화 추천해 주세요!,0
기발한 설정의 SF 영화 추천 부탁드립니다.,0
여행과 모험이 결합된 영화 추천 부탁드립니다.,0
가장 슬픈 영화 추천 부탁드립니다.,0
해리포터의 시리즈와 반지의 제왕을 잇는 정통 판타지의 내용을 담은 영화를 추천해줘,1
수명이 얼마 안남은 아이를 위해 아름다운 추억을 쌓는 내용의 영화를 추천해줘,1
우정의 소중함을 느낄 수 있는 영화 추천 부탁드립니다.,0
온가족이 함께 즐길 수 있는 영화 추천해 주세요.,0
소소한 일상을 그린 유머가 있는 영화 추천해 주세요.,0
시대극을 다룬 영화 추천 부탁드립니다.,0
입양한 아이를 키우다가 낯선 사람이 아이를 돌려달라고 하는 내용의 영화를 알려줘,1
마음을 따뜻하게 해주는 영화 추천해 주세요.,0
가족 간의 갈등을 다룬 영화 추천해 주세요.,0
어두운 분위기의 스릴러 영화 추천 부탁드립니다.,0
복잡한 스토리를 가진 영화 추천 부탁드립니다.,0
유머와 감동이 함께하는 영화 추천해 주세요.,0
숨겨진 명작 영화 추천 부탁드립니다.,0
천재인 주인공이 시골에서 나와 우승하는 내용의 영화를 추천해줘,1
사랑과 우정의 경계를 다룬 영화 추천해 주세요.,0
비극적인 사랑 이야기를 다룬 영화 추천 부탁드려요.,0
LA에 큰 지진이 생기는 줄거리의 영화를 추천해줘,1
거대한 폭풍이 몰아쳐서 방공호를 짓고 가족을 지키는 내용의 영화가 있으면 알려줘,1
여름 방학에 보기 좋은 영화 추천해 주세요.,0
재미있는 스릴러 영화 추천해 주세요!,0
가장 재미있는 코미디 영화 추천해 주세요.,0
대왕 문어나 메가로돈 등의 다양한 해양 생물과 맞대결을 펼치는 내용의 영화를 추천해줘.,1
가장 인상 깊었던 다큐멘터리 영화 추천 부탁드립니다.,0
여행과 모험이 가득한 영화 추천해 주세요.,0
여행과 모험이 결합된 영화 추천 부탁드립니다.,0
가족의 사랑을 그린 따뜻한 영화 추천해 주세요.,0
최근 개봉한 영화 중에 추천할 만한 거 있나요?,0
심리적 긴장이 느껴지는 스릴러 영화 추천 부탁드립니다.,0
미라가 있는 신비로운 무덤을 발견해 무덤의 봉인을 풀어버리는 내용의 영화를 알려줘,1
세상을 지배하거나 당하는 영화를 추천해줘,0
소음 때문에 옆집과 싸워서 평화를 쟁취하는 줄거리의 영화 있어? 있으면 추천해줄래?,1
여행을 떠나고 싶게 만드는 영화 추천 부탁드립니다.,0
감정 이입이 잘 되는 영화 추천 부탁드립니다.,0
독립 영화 중에서 추천해 주실 만한 거 있나요?,0
가족 간의 사랑을 다룬 영화 추천해 주세요.,0
미래를 다룬 SF 영화 추천 부탁드립니다.,0
인생을 돌아보게 하는 영화 추천해 주세요.,0
코미디 영화 추천해 주세요!,0
가장 아름다운 사랑 이야기를 다룬 영화 추천 부탁드립니다.,0
초능력을 가진 주인공이 등장하는 스토리의 영화를 추천해줄래?,1
미래 사회를 다룬 영화 추천해 주세요.,0
재밌는 영화 추천해 주세요!,0
자연과 환경을 주제로 한 영화 추천해 주세요.,0
자아찾기 여정을 담은 영화 추천 부탁드립니다.,0
주인공이 강력한 여성인 영화 추천해 주세요.,0
심리적 갈등을 다룬 영화 추천 부탁드립니다.,0
주인공이 강력한 여성인 영화 추천해 주세요.,0
CIA에서 첩보 역할을 수행해서 작전에 투입하고 테러리스트를 잡는 내용의 영화 추천해줘,1
사랑과 우정의 경계를 다룬 영화 추천 부탁드립니다.,0
가슴 따뜻해지는 가족 영화 추천 부탁드립니다.,0
재미있는 다큐멘터리 영화 추천해 주세요!,0
바다 속의 마을에서 악당의 위험을 피해 비밀을 밝히는 영화를 알려줘,1
다큐멘터리 영화 중에 추천할 만한 거 있나요?,0
가족끼리 볼 만한 영화 추천해 주세요.,0
가장 독창적인 스토리를 가진 영화 추천 부탁드립니다.,0
어른들이 보기 좋은 애니메이션 영화 추천해 주세요.,0
사랑을 다룬 다양한 시각의 영화 추천 부탁드립니다.,0
판타지 영화 추천 부탁드려요.,0
할로윈 데이에 살인사건이 일어나는 내용의 영화를 추천해줘,1
제한된 시간 안에 매복으로부터 전우를 구하는 내용의 영화를 찾아줘,1
공포 영화 추천해 주세요!,0
SF 영화 추천해 주실 수 있나요?,0
폭력과 정의를 다룬 영화 추천 부탁드립니다.,0
내용이 연인이 헤어지고 작가였던 주인공이 글을 쓸 수 없는 상태가 되는 영화를 추천해줘,1
사기를 당해서 펜트 하우스에 털이범과 함께 돈을 찾으러 가는 영화를 알려줘,1
"로맨틱한 영화 보고 싶은데, 추천 좀요!",0
코미디 영화 추천해 주세요!,0
자연을 배경으로 한 아름다운 영화 추천해 주세요.,0
온 가족이 함께 보기 좋은 영화 추천해 주세요.,0
우주를 배경으로 한 영화 추천 부탁드려요.,0
음악 영화 추천해 주세요!,0
액션 영화 중에 추천할 만한 거 있을까요?,0
만화 캐릭터 코난이 등장해서 사건을 해결하는 줄거리의 영화를 추천해줘,1
비극적인 이야기지만 아름다운 영화 추천 부탁드립니다.,0
다큐멘터리 영화 중에 추천할 만한 거 있나요?,0
가족의 사랑을 그린 따뜻한 영화 추천 부탁드립니다.,0
내용이 주인공은 근육 질환을 앓고 있지만 온 몸이 마비되기 전에 사랑하고 싶어하는 것인 영화를 알려줘,1
액션과 로맨스가 결합된 영화 추천해 주세요.,0
어린이와 함께 보기 좋은 가족 영화 추천해 주세요.,0
"있다가 없어서 소중함을 깨닫게 되는 내용의 영화 있으면 추천해줄래?,세상에 혼자 살아남아 다시 구축하는 스토리의 영화가 있으면 추천해줘",1
부모와 자녀의 관계를 다룬 영화 추천 부탁드립니다.,0
재미있고 교육적인 애니메이션 추천해 주세요.,0
가장 아름다운 사랑 이야기를 다룬 영화 추천 부탁드립니다.,0
애니메이션 영화 추천 부탁드려요.,0
어린이와 함께 보기 좋은 애니메이션 추천 부탁드립니다.,0
주인공이 성장하는 과정을 담은 영화 추천 부탁드립니다.,0
좀비가 되어 가족을 돕는 영화를 추천해줘,1
감동적인 영화 추천 부탁드려요.,0
실화 바탕 영화 추천 부탁드립니다.,0
재미있고 교육적인 다큐멘터리 추천해 주세요.,0
사랑과 우정이 동시에 그려진 영화 추천 부탁드립니다.,0
전쟁나서 사람들이 피난가는 줄거리의 영화를 추천해줄래?,1
가장 슬픈 사랑 이야기를 다룬 영화 추천 부탁드립니다.,0
재밌는 영화 추천해 주세요!,0
인생의 의미를 찾아가는 이야기 추천 부탁드립니다.,0
정글에서 포식자인 공룡을 마주쳐서 생사를 걸고 탈출하는 스토리의 영화 추천해줘,1
연예인과 소꿉친구 사이에서 사랑 쟁탈전이 시작되는 줄거리의 영화 추천해줘,1
초자연적인 요소가 있는 영화 추천 부탁드립니다.,0
가장 감동적인 애니메이션 영화 추천 부탁드려요.,0
공룡과 싸워서 동료가 되는 줄거리의 영화가 있으면 추천해줘,1
막무가내의 소년이 주인공의 인생을 바꿔놓는 내용의 영화를 추천해줘.,1
마약범죄조직에 추격을 받게 되는 주인공의 이야기를 담은 영화 추천해줘.,1
불량배나 조폭이 개과천선하는 줄거리의 영화를 추천해줘,1
우주 용병이 우주해적단과 싸우는 줄거리의 영화가 있으면 알려줘,1
어린이가 수천 킬로미터 떨어진 이국으로 가버려 수십년 후 집으로 가는 길을 찾는 영화 알려줘,1
흑인 대통령으로 선발되어 흑인과 백인이 하나되어 월드컵에서 우승하는 내용의 영화 추천해줘,1
심리적 긴장이 느껴지는 영화 추천해 주세요.,0
사랑과 우정을 지키기 위해 모든 것을 걸고 사투를 하는 스토리의 영화가 있으면 추천해줘,1
드래곤 월드에 있는 부모님을 구출하는 내용의 영화 있어? 있으면 추천해줘.,1
상어 떼의 급습을 당해 가족을 모두 잃고 혼자 살아남아 괴로워하는 내용의 영화를 추천해줘,1
어두운 분위기의 스릴러 영화 추천 부탁드립니다.,0
낯선 얼굴이 되어 자신을 찾기 위한 사투를 하는 영화를 찾아줘,1
가슴설레는 쇼를 보여주는 줄거리의 영화를 추천해줘,1
가장 감동적인 실화 영화 추천 부탁드립니다.,0
들어가면 빠져나올 수 없는 숲으로 들어가서 탈출을 시도하는 내용의 영화 추천해줘,1
SF 영화 추천해 주실 수 있나요?,0
여행 중의 우연한 만남을 다룬 영화 추천 부탁드립니다.,0
감동적인 영화 추천 부탁드려요.,0
여름에 잘 어울리는 영화 추천해 주세요.,0
우정의 소중함을 느낄 수 있는 영화 추천 부탁드립니다.,0
고전 영화 중에서 추천할 만한 거 있나요?,0
전세계가 해상 합동 훈련을 하는데 외계 존재와 싸우는 줄거리의 영화를 추천해줘,1
어릴 적 기억을 떠올리게 하는 영화 추천해 주세요.,0
드라마 장르 영화 추천 부탁드립니다.,0
실화 바탕 영화 추천 부탁드립니다.,0
전통 문화를 다룬 영화 추천해 주세요.,0
마음을 따뜻하게 해주는 영화 추천해 주세요.,0
주인공이 악당인 영화 추천해줘,0
사랑과 갈등을 다룬 영화 추천해 주세요.,0
스릴러 영화 추천 부탁드립니다.,0
복수극을 다룬 스릴러 영화 추천해 주세요.,0
여름에 보기 좋은 해변 영화 추천해 주세요.,0
신비로운 요소가 있는 판타지 영화 추천 부탁드립니다.,0
시간 여행을 다룬 영화 추천해 주실 수 있나요?,0
스포츠를 주제로 한 감동적인 영화 추천해 주세요.,0
전문 직업을 다룬 영화 추천해 주세요.,0
전쟁 영화 중에서 추천할 만한 거 있나요?,0
동화를 보다가 동화책에 들어가서 주인공이 되는 줄거리의 영화가 있어?,1
말썽꾸러기 5인방이 정체불명의 녀석을 발견해서 비밀의 숲으로 가는 영화를 알려줘,1
감정 이입이 잘 되는 영화 추천해 주세요.,0
정체성을 찾는 이야기를 다룬 영화 추천 부탁드립니다.,0
무기력한 일상 속에서 이상형을 만나 라이벌에게 빼앗기는 영화를 추천해줘,1
최근 개봉한 영화 중에 추천할 만한 거 있나요?,0
스릴러 영화 추천 부탁드립니다.,0
어두운 분위기의 스릴러 영화 추천 부탁드립니다.,0
실험적인 형식을 가진 영화 추천 부탁드립니다.,0
사랑과 우정이 동시에 그려진 영화 추천해 주세요.,0
대부분이 좋아하는 영화 알려줘,0
학교 영화 추천해줄래?,0
사랑을 다룬 다양한 시각의 영화 추천해 주세요.,0
다양한 문화가 어우러진 영화 추천해 주세요.,0
"아이들을 이용해서 학대, 장기이식수술 등을 하는 줄거리의 영화를 알려줘",1
훌륭한 배우의 삶을 지냈지만 과거의 선택을 바꿀 기회가 주어진다는 줄거리의 영화를 추천해줘,1
우정이 깊어지는 과정을 그린 영화 추천해 주세요.,0
주인공이 특별한 능력을 가진 영화 추천 부탁드립니다.,0
줄거리가 백성이 피눈물을 흘렸다는 내용인 영화를 추천해줘오아시스를 찾아 떠나는 여행을 하는 줄거리의 영화를 추천해줘,1
모험과 판타지가 가득한 영화 추천 부탁드립니다.,0
고전 문학을 바탕으로 한 영화 추천 부탁드립니다.,0
사회적 이슈를 다룬 강렬한 드라마 추천해 주세요.,0
시한부 선고를 받은 청년이 다양한 사람을 만나며 삶을 포기하지 않게 되는 영화를 추천해줘,1
미스터리한 사건을 해결하면서 로맨틱한 상황이 펼쳐지는 스토리의 영화를 추천해줘,1
돌연변이가 판치는 세상에서 특별한 능력을 가진 사람이 시간여행을 떠나 막는 영화를 알려줘,1
소설을 원작으로 한 영화 추천 부탁드립니다.,0
약물에 중독된 부모에 의해 여러 가정을 전전하며 큰 아이가 진정한 가족을 찾게 되는 내용의 영화 추천해줘,1
음악과 춤이 함께하는 영화 추천 부탁드립니다.,0
인상 깊은 캐릭터가 있는 영화 추천해 주세요.,0
우정이 깊어지는 과정을 그린 영화 추천 부탁드립니다.,0
가장 기억에 남는 감동적인 애니메이션 추천 부탁드립니다.,0
자아 발견을 다룬 영화 추천 부탁드립니다.,0
사회적 메시지가 있는 영화 추천해 주세요.,0
가장 기억에 남는 명대사가 있는 영화 추천해 주세요.,0
여행 중의 특별한 순간을 다룬 영화 추천 부탁드립니다.,0
시리즈물 중에서 추천할 만한 거 있나요?,0
애니메이션 영화 추천 부탁드려요.,0
고전 문학을 바탕으로 한 영화 추천 부탁드립니다.,0
군사정권에 맞서는 주인공 내용의 영화를 추천해줘,1
히치하이크를 하며 친아빠의 존재를 찾는 어린이의 이야기를 다룬 영화를 추천해줘.,1
여행과 모험이 가득한 영화 추천 부탁드립니다.,0
추억을 자극하는 고전 애니메이션 추천해 주세요.,0
가정에 파국을 일으키는 큰 사건이 일어나 예측불가능한 여정이 시작되는 내용을 담은 영화 추천해줘,1
유언에 따라 재산을 상속받아 이사가는 내용의 영화를 추천해줘,1
사랑에 관한 다양한 시각을 다룬 영화 추천 부탁드립니다.,0
"로맨틱한 영화 보고 싶은데, 추천 좀요!",0
최초의 여성 지휘자가 등장하는 줄거리의 영화를 추천해줘,1
판타지 영화 추천 부탁드려요.,0
가장 재미있는 판타지 영화 추천해 주세요.,0
미스터리한 요소가 있는 영화 추천 부탁드립니다.,0
나한테 재밌는 영화를 권해줄래?,0
요즘 볼 만한 영화 뭐 있을까요?,0
독립 영화 중에서 추천해 주실 만한 거 있나요?,0
세상의 마지막 날에 우연한 만남을 계기로 마지막을 함께하는 내용의 영화가 있으면 추천해줘,1
가족끼리 볼 만한 영화 추천해 주세요.,0
실험적인 형식을 가진 영화 추천 부탁드립니다.,0
도박으로 인생 역전을 꿈꾸는 소녀가 가족을 잃으며 사건현장에서 발견한 포커 카드로 범인을 찾는 영화를 추천해줘,1
열린 결말의 영화를 추천해줘,0
전쟁을 다룬 감동적인 영화 추천 부탁드립니다.,0
음유시인과 전투광이 같이 여행하는 내용의 영화가 있어? 있으면 추천해줘,1
복서와 게이의 극적인 만남으로 웃음과 감동으로 펼쳐지는 내용의 영화를 추천해줘,1
가족 간의 사랑을 다룬 영화 추천해 주실 수 있나요?,0
